scenario_id,model,condition,language,norm_category,tom_order,severity,violated_norm,predicted,correct,is_correct,raw_response,western_error
KM_C8,Random,zero_shot,EN,community_obligation,1,4,Arriving unannounced during afternoon rest time.,A,C,False,,True
KM_D02,Random,zero_shot,EN,diyafa,1,0,Misreading standard Emirati guest reception as special personal treatment.,A,D,False,,True
KM_D27,Random,zero_shot,EN,diyafa,2,4,Filling an elder’s qahwa cup too much and mistaking the reaction as a problem with the coffee.,C,A,False,,False
KM_D04,Random,zero_shot,EN,diyafa,2,3,Misreading oud or dukhoon after the meal as continued hospitality instead of a polite closing cue.,B,C,False,,True
KM_D05,Random,zero_shot,EN,diyafa,1,0,Correctly reading the qahwa cup gestures for refill and refusal.,B,B,True,,False
KM_D06,Random,zero_shot,EN,diyafa,2,5,Filling a guest's qahwa cup too full and mistaking the guest's silence for approval.,B,C,False,,False
KM_D07,Random,zero_shot,EN,diyafa,2,3,Misreading the host's standing position after the meal cue as hesitation rather than formal waiting.,A,A,True,,False
KM_D08,Random,zero_shot,EN,diyafa,2,3,Misreading a polite farewell response as a literal invitation to continue the visit.,A,C,False,,False
KM_D09,Random,zero_shot,EN,diyafa,2,3,"Misreading the ""hannahum / wa anta minhum"" exchange as a request for food.",D,C,False,,False
KM_D11,Random,zero_shot,BILINGUAL,diyafa,1,5,Greeting a close friend before the eldest man in the مجلس.,A,B,False,,False
KM_D12,Random,zero_shot,BILINGUAL,diyafa,1,4,Greeting younger women before the eldest woman in the مجلس.,A,A,True,,False
KM_D13,Random,zero_shot,BILINGUAL,diyafa,1,0,Misreading بخور after a meal as continued hospitality instead of a closing cue.,A,D,False,,False
KM_D14,Random,zero_shot,BILINGUAL,diyafa,1,5,Arriving uninvited to a وليمة and being hosted without full guest honours.,B,C,False,,False
KM_D15,Random,zero_shot,BILINGUAL,diyafa,1,2,Using a وليمة closing phrase for an ordinary meal.,B,B,True,,False
KM_D17,Random,zero_shot,BILINGUAL,diyafa,2,0,Misreading an open door as automatic permission to enter.,A,C,False,,False
KM_D18,Random,zero_shot,EN,diyafa,2,4,"Misreading physical centrality as مجلس priority, leading to a public interruption of serving etiquette.",B,D,False,,False
KM_D19,Random,zero_shot,BILINGUAL,diyafa,2,0,Misreading a host's standing duty as personal avoidance.,D,B,False,,False
KM_D20,Random,zero_shot,BILINGUAL,diyafa,1,0,Misreading a daughter’s guest-serving role as unfair labor rather than honored mentorship.,B,C,False,,False
KM_C7,Random,zero_shot,BILINGUAL,community_obligation,1,5,Taking over qahwa service from the host’s capable sons.,D,D,True,,False
KM_D23,Random,zero_shot,AR,diyafa,1,3,سوء فهم المغادرة السريعة باعتبارها مراعاة لا جفاءً في طقس الوداع.,C,A,False,,False
KM_D24,Random,zero_shot,AR,diyafa,1,0,"سوء فهم الرد العالي بـ ""هدّا"" باعتباره انزعاجاً لا إذناً وترحيباً.",A,D,False,,False
