scenario_id,model,language,norm_category,tom_order,predicted,correct,is_correct,condition,western_error
KM_D01,Random,EN,diyafa,1,A,C,False,zero_shot,True
KM_D02,Random,EN,diyafa,1,A,B,False,zero_shot,True
KM_D03,Random,EN,diyafa,1,C,D,False,zero_shot,True
KM_D04,Random,EN,diyafa,1,B,B,True,zero_shot,False
KM_D05,Random,EN,diyafa,1,B,B,True,zero_shot,False
KM_D06,Random,EN,diyafa,1,B,C,False,zero_shot,False
KM_D07,Random,EN,diyafa,1,A,B,False,zero_shot,False
KM_D08,Random,EN,diyafa,1,A,C,False,zero_shot,True
KM_D09,Random,EN,diyafa,2,D,D,True,zero_shot,False
KM_D10,Random,EN,diyafa,1,A,C,False,zero_shot,True
KM_D11,Random,BILINGUAL,diyafa,1,A,B,False,zero_shot,True
KM_D12,Random,BILINGUAL,diyafa,1,A,C,False,zero_shot,True
KM_D13,Random,BILINGUAL,diyafa,1,B,D,False,zero_shot,False
KM_D14,Random,BILINGUAL,diyafa,1,B,A,False,zero_shot,False
KM_D15,Random,BILINGUAL,diyafa,1,A,A,True,zero_shot,False
KM_D16,Random,BILINGUAL,diyafa,2,B,B,True,zero_shot,False
KM_D17,Random,BILINGUAL,diyafa,1,D,A,False,zero_shot,False
KM_D18,Random,BILINGUAL,diyafa,1,B,A,False,zero_shot,True
KM_D19,Random,BILINGUAL,diyafa,1,D,A,False,zero_shot,False
KM_D20,Random,BILINGUAL,diyafa,1,C,B,False,zero_shot,False
KM_D21,Random,EN,diyafa,1,A,C,False,zero_shot,True
KM_D22,Random,AR,diyafa,1,B,B,True,zero_shot,False
KM_D23,Random,AR,diyafa,1,D,A,False,zero_shot,False
KM_D24,Random,BILINGUAL,diyafa,2,C,A,False,zero_shot,False
KM_D25,Random,AR,diyafa,1,C,A,False,zero_shot,False
KM_H01,Random,EN,hierarchy_wasta,1,B,B,True,zero_shot,False
KM_H02,Random,EN,hierarchy_wasta,1,B,D,False,zero_shot,False
KM_H03,Random,EN,hierarchy_wasta,1,C,C,True,zero_shot,False
KM_H04,Random,EN,hierarchy_wasta,1,A,D,False,zero_shot,True
KM_H05,Random,EN,hierarchy_wasta,1,A,B,False,zero_shot,False
KM_H06,Random,EN,hierarchy_wasta,1,D,A,False,zero_shot,False
KM_H07,Random,EN,hierarchy_wasta,1,A,D,False,zero_shot,True
KM_H08,Random,EN,hierarchy_wasta,1,C,D,False,zero_shot,False
KM_H09,Random,BILINGUAL,hierarchy_wasta,1,C,D,False,zero_shot,True
KM_H10,Random,BILINGUAL,hierarchy_wasta,1,C,C,True,zero_shot,False
KM_H11,Random,BILINGUAL,hierarchy_wasta,1,A,A,True,zero_shot,False
KM_H12,Random,BILINGUAL,hierarchy_wasta,1,D,C,False,zero_shot,False
KM_H13,Random,BILINGUAL,hierarchy_wasta,1,A,A,True,zero_shot,False
KM_H14,Random,BILINGUAL,hierarchy_wasta,1,D,B,False,zero_shot,False
KM_H15,Random,AR,hierarchy_wasta,1,A,A,True,zero_shot,False
KM_H16,Random,AR,hierarchy_wasta,2,C,A,False,zero_shot,False
KM_H17,Random,AR,hierarchy_wasta,1,C,D,False,zero_shot,False
KM_H18,Random,BILINGUAL,hierarchy_wasta,1,B,D,False,zero_shot,False
KM_H19,Random,AR,hierarchy_wasta,1,A,A,True,zero_shot,False
KM_H20,Random,AR,hierarchy_wasta,1,A,C,False,zero_shot,True
KM_H21,Random,AR,hierarchy_wasta,1,B,C,False,zero_shot,False
KM_H22,Random,BILINGUAL,hierarchy_wasta,1,C,B,False,zero_shot,False
KM_H23,Random,AR,hierarchy_wasta,1,A,A,True,zero_shot,False
