scenario_id,norm_category,tom_order,language,scenario_text,question_text,character,option_A,option_B,option_C,option_D,correct_answer,violated_norm,severity,cultural_explanation,common_western_misreading
KM_C8,community_obligation,first,EN,"Fatima arrives at her neighbour Maryam's house as a surprise at 2pm. Maryam opens the door in home clothes, visibly surprised. She welcomes Fatima graciously, smiles warmly, and begins bustling around to make her feel at home. Fatima smiles, assuming Maryam is thrilled by the surprise.",Maryam appears delighted and is bustling around to welcome Fatima. What is actually going on inside Maryam?,Maryam,Maryam is happy that Fatima came without notice because surprise visits are treated as a stronger sign of neighbourly closeness.,Maryam is pleased by the visit but worried that Fatima may think the house looks too quiet because it is the afternoon rest period.,Maryam feels caught off guard by the surprise visit but continues acting warmly as host.,Maryam is embarrassed because she forgot a planned visit and is now trying to make it seem as if she had prepared for Fatima all along.,C,Arriving unannounced during afternoon rest time.,4,"In customary Emirati سنع, guests are expected to call before visiting so the host has time to prepare the house, dress appropriately, and receive them properly. The afternoon after Dhuhr is also often treated as private rest time. Maryam's warm welcome does not mean the timing was easy for her; she is preserving hospitality while internally feeling caught off guard by the surprise arrival.","A Western visitor may read an unannounced visit as spontaneous and friendly, especially between neighbours. They may miss that in this context, arriving without notice can place pressure on the host, who must still appear gracious even if she is unprepared."
KM_D02,diyafa,first,EN,"Ahmed visits his friend Khalid. Khalid opens the door wearing his كندورة, greets Ahmed with ""يا هلا ويا مرحبا,"" and ushers him to the مجلس. The house is clean, بخور is burning, qahwa is ready, and dates are served. Ahmed smiles and says, 'You shouldn't have,' assuming Khalid must have made unusual preparations especially for him.",What does Ahmed get wrong about Khalid's reception?,Ahmed,Ahmed thinks Khalid is making the visit unusually formal because their friendship has become more distant.,Ahmed thinks Khalid is showing off the house and hospitality items to impress him.,Ahmed thinks Khalid prepared the مجلس this way because Ahmed is an unusually important guest.,Ahmed thinks Khalid made unusually special preparations for him personally.,D,Misreading standard Emirati guest reception as special personal treatment.,0,"In customary Emirati سنع, receiving a guest properly includes a warm verbal welcome, a prepared مجلس, qahwa, dates, بخور, and presentable clothing such as the كندورة. These gestures do not necessarily mean the host prepared unusually for one specific person; they are part of the expected baseline of hospitality. Ahmed interprets the reception as exceptional personal effort, while Khalid is performing the normal standard of guest honouring.","A Western visitor may treat these details as unusually formal or specially arranged, because casual visits in other settings may not require the same level of preparation. They may miss that in Emirati hospitality, what looks elaborate can be the ordinary minimum for receiving a guest with respect."
KM_D27,diyafa,second,EN,"Salem grew up mostly abroad and has only recently started hosting family gatherings again. During a majlis, he wants to show extra generosity to an elderly guest, so he serves qahwa and fills the cup more than halfway. The elder looks at the cup, takes a small sip, becomes visibly uncomfortable, and soon excuses himself from the gathering. Salem later looks worried and tells his sister, ""I should have done it differently."" His sister realizes Salem has misunderstood what upset the elder.",Which answer best captures the misunderstanding between Salem’s view and his sister’s understanding?,Salem’s sister,"Salem thinks the elder was uncomfortable because of how the qahwa itself was prepared, while his sister understands that the issue was the amount poured into the cup.","Salem thinks the elder expected tea instead of qahwa, while his sister understands that the elder was upset because Salem served him before the younger guests.","Salem thinks the elder left because the majlis was too crowded, while his sister understands that the elder wanted Salem to sit with him instead of serving.","Salem thinks the elder was offended because the qahwa was served too late, while his sister understands that the elder was upset because the gathering ended too quickly.",A,Filling an elder’s qahwa cup too much and mistaking the reaction as a problem with the coffee.,4,"In customary Emirati سنع, qahwa is normally poured in a small amount, often around one-third of the cup. A larger pour can feel excessive, careless, or socially inappropriate, especially when served to an elder in a majlis. Salem intends the larger amount as generosity, but his sister understands that the elder’s discomfort came from the breach in qahwa etiquette rather than from the taste or preparation of the coffee.","A person unfamiliar with Emirati qahwa etiquette may assume that giving more coffee shows more generosity. They may misread the elder’s discomfort as a reaction to the taste, strength, or preparation of the qahwa rather than to the amount poured."
KM_D04,diyafa,second,EN,"Mohammed hosts guests in his majlis. He serves qahwa, dates, then a full meal, then fruit, then qahwa again. Finally, he brings out the oud/dukhoon incense burner and passes it around the room so each guest can scent their clothes. One guest, who grew up abroad, smiles and says, ""You are still spoiling us,"" then settles back into his cushion and begins a new conversation. Mohammed looks slightly uncomfortable, realizing that his cousin has misunderstood the meaning of this final gesture.",Which answer best captures what Mohammed realizes about his cousin’s misunderstanding?,Mohammed,"The cousin thinks the incense is meant to cover the smell of food, while Mohammed understands that the real issue is that the meal was served too late.","The cousin thinks the incense means another round of dessert or coffee is coming, while Mohammed understands that the incense is only being used to refresh the room after food.","The cousin thinks the incense is another act of continued hospitality, while Mohammed understands that the hosting sequence has been completed and the gathering is politely reaching its end.","The cousin thinks Mohammed is showing wealth through expensive incense, while Mohammed understands that the guests are expected to praise the oud before speaking again.",C,Misreading oud or dukhoon after the meal as continued hospitality instead of a polite closing cue.,3,"In customary Emirati سنع, hospitality often follows a recognizable sequence: qahwa, dates, a meal, fruit, qahwa again, and then oud or dukhoon. When incense is passed after the meal, it does not mean the host is kicking guests out. Rather, it signals that the host has completed the full hospitality sequence and that the gathering is gracefully reaching its end. Mohammed understands this closing cue, while his cousin reads the incense as another reason to stay and continue the visit.","A person unfamiliar with Emirati hospitality may interpret oud or dukhoon as simply another generous gesture, missing that after the meal sequence it can function as a polite signal that guests should begin preparing to leave."
KM_D05,diyafa,first,EN,"Saeed serves qahwa to his father's guests. He fills each cup about one-third full and stands attentively. One guest, who has just finished his cup, holds it out toward Saeed without moving it. Another guest, finished with his, gives the cup a small shake before handing it back. Saeed refills the first guest's cup and takes the second guest's cup away.",What does Saeed understand about each guest from how they handed back their cups?,Saeed,"Saeed understands that the first guest should be served again because he is older, while the second guest should be stopped because younger guests are expected to drink less qahwa.","Saeed understands that the first guest is silently asking for more qahwa, while the second guest is silently indicating that he has finished.",Saeed understands that both guests are finished.,"Saeed understands that the first guest is unsure how to return the cup properly, while the second guest is correcting him by showing the right gesture.",B,Correctly reading the qahwa cup gestures for refill and refusal.,0,"In customary Emirati hosting, the qahwa cup allows the guest to communicate silently with the server. Holding the cup out without shaking it signals that the guest would like more. Giving the cup a small shake before handing it back signals that the guest is finished. Saeed reads both gestures correctly: he refills the first guest’s cup and takes the second guest’s cup away.","A Western guest may not know that the cup movement carries a specific meaning. They might assume an empty cup should always be refilled, or that handing the cup back always means the guest is finished, missing the silent gesture system that guides qahwa service."
KM_D06,diyafa,second,EN,"At Khalid's majlis, his young son is helping serve qahwa for the first time. The son fills a guest's cup fully. The guest takes the cup, drinks quietly, and says nothing. After the guests leave, Khalid is visibly angry with his son. The son is confused because he served the guest, the guest accepted, and no one complained. Khalid’s older brother notices the son's confusion and realizes he has misunderstood the guest's silence.",What does Khalid’s older brother realize the son believes about the guest’s reaction?,Khalid’s older brother,The son believes the guest drank quickly because the coffee was cold.,The son believes the guest was waiting for an apology.,The son believes the guest's silence indicated satisfaction.,The son believes the guest's silence was a test of the son's patience and hospitality.,C,Filling a guest's qahwa cup too full and mistaking the guest's silence for approval.,5,"In customary Emirati hosting, qahwa is usually poured in a small amount, often around one-third of the cup. A full cup can be read as careless, disrespectful, or as a coded signal that the guest has overstayed. The guest’s silence does not mean the serving was correct; it may be a face-saving response that protects the host’s family from open embarrassment. Khalid’s son misunderstands the silence as approval, while the older brother understands that the guest likely recognized the breach and chose not to name it.","A Western reader may see the exchange as successful because the guest accepted the cup and did not complain. They may miss that in this context, silence can be a polite way of absorbing a mistake rather than evidence that no mistake occurred."
KM_D07,diyafa,second,EN,"Mariam invites her sister-in-law and a few female cousins to lunch. When the food is brought out, one cousin politely says, ""Please, don't trouble yourselves."" Mariam smiles, replies, ""The food is ready,"" and gestures to the dishes. The cousin, taking this as confirmation that there is no rush, settles back into conversation and continues talking with the others. Mariam stays standing by the table, her own seat empty. The sister-in-law shoots the cousin a quick look, but the cousin does not catch it. Eventually Mariam sits, but only after the cousin finally moves toward the table. Later that evening, Mariam tells her sister-in-law she felt the visit went poorly.",What does the sister-in-law realize the cousin misunderstood about Mariam staying by the table?,Sister-in-law,The cousin thinks Mariam is being shy about sitting first.,The cousin thinks Mariam is standing because she is waiting to bring out more food.,The cousin thinks Mariam is giving everyone more time to talk.,The cousin thinks Mariam is upset because the meal has not been praised yet.,A,Misreading the host's standing position after the meal cue as hesitation rather than formal waiting.,3,"Customary Emirati hosting includes small acts of deference by the host. When food is ready, the host may remain standing until the guests move toward the meal and take their seats. The phrase ""the food is ready"" is not only information; it functions as a cue that guests should begin moving promptly. By continuing the conversation, the cousin unintentionally keeps Mariam standing in her hosting role. The sister-in-law understands this breach, but cannot correct it openly without embarrassing the cousin.","A Western guest may treat ""the food is ready"" as a casual update rather than an opening cue. They may think continuing the conversation is harmless, missing that the host is waiting physically and socially for the guests to respond."
KM_D08,diyafa,second,EN,"After a long visit, Khalid stands and tells his host Salem, ""Pardon me, I really must go."" Salem replies warmly, ""We haven't had our fill of your company."" Khalid smiles, relaxes back into his seat, and begins another conversation. Salem continues smiling, but his expression tightens slightly as he realizes Khalid has misunderstood the exchange.",Which answer best captures what Salem realizes about Khalid’s misunderstanding?,Salem,"Khalid thinks Salem is upset that he tried to leave, while Salem understands that guests should not mention leaving directly.","Khalid thinks Salem wants him to stay for dinner, while Salem understands that the visit should continue until the host ends it openly.","Khalid thinks Salem’s polite farewell phrase is a real invitation to keep sitting, while Salem understands that it is a courteous response to a guest preparing to leave.","Khalid thinks Salem is asking him to apologize for leaving, while Salem understands that the phrase means the guest has stayed too long.",C,Misreading a polite farewell response as a literal invitation to continue the visit.,3,"In customary Emirati hospitality, a host may respond to a guest’s farewell with warm phrases such as ""we have not had enough of your company"" to honor the guest and avoid making them feel unwanted. This does not necessarily mean the host is asking the guest to restart the visit. Salem understands the phrase as part of a polite farewell exchange, while Khalid takes it literally and sits back down.","A person unfamiliar with Emirati farewell etiquette may interpret warm farewell phrases as literal invitations to stay longer, missing that they can function as polite, respectful responses when a visit is naturally ending."
KM_D09,diyafa,second,EN,"At a mealtime gathering, a guest enters while everyone is eating. He says the ritual greeting ""hannahum"" — may they enjoy it. The hosts respond, ""wa anta minhum"" — and you with them. The guest smiles and finds a place to sit. A foreign visitor watching nearby whispers to Mariam, ""Did he just ask them to give him food?"" Mariam observes the visitor's confused expression.",What does Mariam realize the foreign visitor believes about the guest's intention?,Mariam,The visitor believes the guest is warning the hosts that they should finish eating before speaking to him.,The visitor believes the guest is apologizing because he interrupted a private family meal.,The visitor believes the guest is asking to be included in the meal.,The visitor believes the guest is confused by the hosts' reply and does not know where to sit.,C,"Misreading the ""hannahum / wa anta minhum"" exchange as a request for food.",3,"In customary Emirati سنع, ""hannahum"" is a ritual phrase used when entering a space where others are eating. It expresses blessing or goodwill toward the people eating. The expected reply, ""wa anta minhum,"" includes the arriving person in that blessing. The exchange is not a direct request for food, but a socially recognized script that makes the guest's entrance polite and complete.","A Western observer may not know this scripted exchange and may interpret the phrase literally or functionally, assuming the guest is asking to be fed or apologizing for interrupting."
KM_D11,diyafa,first,ENG/AR,"Khalid enters the مجلس. He removes his نعال at the door, enters with his right foot, and gives a clear السلام عليكم to the whole room. He then walks straight to his close friend Ahmed seated on the left side of the room, shakes his hand warmly, and starts chatting with him. The eldest man in the مجلس — Ahmed's grandfather, seated at the head — watches in silence. Several of the other men exchange brief looks. Khalid notices the change in atmosphere but cannot identify what caused it.",What mistaken assumption led Khalid to greet Ahmed first?,Khalid,He thought Ahmed was the person who should be greeted first because he was closest to him socially.,He thought greeting his close friend first was the warmest and most natural choice.,He thought the room was too crowded for greeting order to matter.,He thought the host would guide him if a different greeting order was expected.,B,Greeting a close friend before the eldest man in the مجلس.,5,"The مجلس has a strict hierarchy that is enacted through the order of greeting. The eldest or highest-status person is always greeted first after the general السلام عليكم, then the rest of the room is greeted moving from right to left. This sequence is not optional — it is how respect is publicly performed in a setting where multiple generations and ranks share one room. A guest who walks past the elder to greet a peer first is not just being informal; he is publicly placing his personal connection above the elder's status. The elder cannot say anything, the other guests will not say anything, but everyone present sees the inversion. The breach lives in the room for the rest of the visit.","A Western visitor would see Khalid's entry as exemplary — he removed his shoes, gave a general greeting, and warmly engaged the person he came to see. They would interpret the silence and exchanged looks as awkwardness about something else entirely rather than as a collective registration of a hierarchy breach. They would also assume that greeting your closest connection first is universally polite, missing that in customary Emirati settings, the elder's claim on the first greeting always outranks the friend's claim."
