scenario_id,norm_category,tom_order,language,scenario_text,character,option_A,option_B,option_C,option_D,correct_answer,violated_norm,severity,cultural_explanation,common_western_misreading
KM_D01,diyafa,first,EN,Fatima arrives at her neighbour Maryam's house unannounced at 2pm. Maryam opens the door in home clothes looking tired. She says come in but seems slow to prepare anything.,Maryam,Maryam is caught off guard because Fatima violated the سنع of calling before visiting and arrived during the afternoon rest time,Maryam does not like Fatima,Maryam is unwell,Maryam is being a bad host,C,Calling before visiting and avoiding the afternoon rest time are core سنع norms. Arriving unannounced at 2pm violates both.,4,The afternoon after Dhuhr is private rest time. The سنع requires calling ahead so the host can prepare the house clean it and wear appropriate clothes. Arriving without notice puts the host in a helpless position.,A Western visitor would think dropping by is spontaneous and friendly and would not see any problem.
KM_D02,diyafa,first,EN,Ahmed visits his friend Khalid. Khalid opens the door wearing الكندورة and greets Ahmed with يا هلا ويا مرحبا. The house is clean and has بخور and the دلة is ready.,Khalid,Khalid is overdoing the welcome and being too formal,Khalid is correctly fulfilling the full سنع of receiving a guest: proper dress clean house بخور and warm welcome words,Khalid is showing off to his guest,Khalid is nervous about the visit,B,Wearing the national dress greeting warmly with يا هلا cleaning the house and having بخور and القهوة ready are all part of the minimum سنع of hosting.,5,Every element here is required سنع. Greeting with يا هلا ويا مرحبا is the correct verbal welcome. The بخور and دلة signal the house is ready. The كندورة shows respect for the guest.,A Western host would greet casually in any clothes and might not understand the significance of each element.
KM_D03,diyafa,first,EN,Noura calls her friend Shaikha before visiting and says is it a good time? Shaikha says yes but give me 30 minutes. Noura waits then comes.,Noura,Noura is checking if Shaikha has other guests,Noura does not fully trust Shaikha,Noura is being unnecessarily formal with a close friend,Noura is correctly following the سنع of always calling before any visit regardless of how close the friendship is,D,Calling before any visit is a fundamental سنع norm. You never arrive unannounced because you do not know what is happening in the house.,5,The سنع teaches us to call first because the host may be resting unwell unprepared or not home. Calling protects the host's dignity and gives them the chance to prepare a proper welcome.,A Western friend would consider calling before visiting a close friend to be unnecessarily formal.
KM_D04,diyafa,first,EN,Mohammed hosts guests at his مجلس. He serves them القهوة then dates then a full meal of rice and meat. After the meal he serves فاكهة then القهوة again then brings out the عود.,Mohammed,Mohammed is serving food in the wrong order,Mohammed is following the correct سنع sequence of hosting: القهوة then dates then meal then فاكهة then القهوة then عود,Mohammed is trying to extend the visit unnecessarily,Mohammed is showing off his hospitality,B,The correct سنع sequence of hosting is: receive with عود then القهوة then meal then فاكهة then القهوة then عود again before departure.,5,This sequence is not accidental. Each stage has a specific role in the سنع of hosting. The final عود signals the approaching end of the gathering as the proverb says ما بعد العود قعود.,A Western host would serve food in whatever order is convenient without understanding that the sequence itself carries social meaning.
KM_D05,diyafa,first,EN,A young man named Saeed holds the دلة with his left hand and offers قهوة with his right hand. He stands by the guest and does not sit until the فنجان is shaken.,Saeed,Saeed is being unnecessarily formal,Saeed is correctly following the سنع of serving القهوة: right hand for the فنجان left hand for the دلة and standing until the cup is shaken,Saeed is trying to impress the older guests,Saeed does not know where to sit,B,From the سنع of serving القهوة: right hand for the فنجان left hand for the دلة filling only to one third standing attentively and waiting for the فنجان to be shaken.,5,This precise manner of serving القهوة is not optional. Each detail expresses respect for the guest. Sitting down or walking away before the فنجان is shaken is considered قلة سنع.,A Western server would refill based on whether the cup is empty and would not understand the significance of waiting for a hand signal.
KM_D06,diyafa,first,EN,The guest at Khalid's مجلس places his empty فنجان on the floor beside him without shaking it. Khalid's son immediately refills it. The guest did not want more.,Guest,The guest does not know that placing the فنجان down without shaking signals a request for more and is now stuck in an unwanted refill cycle,The guest is being polite by accepting more,The guest forgot to shake,The guest is happy to receive more القهوة,C,Not shaking the فنجان signals the host to keep refilling. The guest's failure to shake means the son is acting correctly according to سنع.,3,This is a cultural literacy gap. The سنع is clear: shake the فنجان to stop. Until then the host keeps serving. The guest also should not place the فنجان on the floor but return it to the server's hand.,A Western guest would simply say no thank you or cover the cup with their hand.
KM_D07,diyafa,first,EN,Mariam prepares food and places it in front of her guests without asking if they are hungry. One guest says لا تتعبون حالكم. Mariam replies الطعام جاهز and gestures toward the dishes.,Mariam,Mariam is ignoring the guest's statement,Mariam is correctly following the سنع: food is placed without asking and the guest's ritual phrase لا تتعبون حالكم is met with الطعام جاهز before they proceed to eat,Mariam is trying to force the guest to eat,Mariam did not hear the guest,B,Food is always placed without asking in Emirati سنع. The phrase لا تتعبون حالكم is a ritual courtesy not a genuine refusal. The host's response الطعام جاهز closes the ritual.,5,Both phrases are scripted. The guest says لا تتعبون حالكم meaning I do not want to burden you. The host says الطعام جاهز meaning it is already done. Then both move to the table.,A Western observer would take لا تتعبون حالكم as a genuine decline and be confused by the guest then eating.
KM_D08,diyafa,first,EN,After a long visit the guest stands and says السموحة لازم أروح. The host replies ما شبعنا منك. The guest smiles briefly sits then rises again and leaves. The host walks him all the way to the door saying الله يحييكم.,Host,The host is fulfilling the complete سنع of farewell: insisting once with ما شبعنا منك then escorting the guest to the door with warm words,The host is trying to keep the guest against his will,The host is embarrassed the visit is ending,The host is being insincere,C,The complete farewell سنع is: guest announces departure with السموحة لازم أروح host insists once then accepts then escorts to the door with warm words.,5,Every step has its place. السموحة لازم أروح is the guest's ritual announcement. ما شبعنا منك is the host's required response. The escort to the door is the final act of كرم. Closing the door before the guest fully departs is قلة سنع.,A Western host would say goodbye at the door and go back inside immediately without seeing the escort as a required act.
KM_D09,diyafa,second,EN,At a mealtime gathering a guest enters while everyone is eating. He says هنّهم. The hosts respond وأنت منهم. He smiles and finds a place to sit.,Guest,The guest is asking for food,The hosts are confused by what the guest said,The guest is interrupting a private meal,The guest and host are exchanging the correct سنع phrases for entering a gathering where others are eating: هنّهم and the reply وأنت منهم,D,هنّهم is the correct سنع phrase for entering when others are eating. It means may your food bring you blessing. The reply وأنت منهم means and you are part of this blessing.,3,This scripted exchange is embedded in the سنع of social gatherings. Both parties know their lines. Missing either phrase would feel abrupt and socially incomplete.,A Western observer would not know these phrases exist and would simply say sorry to interrupt or say nothing at all.
KM_D10,diyafa,first,EN,A guest arrives at Mohammed's house. Mohammed greets him warmly saying حياكم الله والبيت بيتكم then immediately offers بخور and القهوة.,Mohammed,Mohammed is correctly greeting the guest with the proper سنع welcome phrase حياكم الله والبيت بيتكم which expresses that the guest is fully welcome in the home,Mohammed is showing off his hospitality,Mohammed is nervous,Mohammed is being overly formal for a casual visit,C,The phrase حياكم الله والبيت بيتكم is a formal and sincere سنع expression meaning may God give you life and this house is your house. It signals complete welcome.,4,حياكم الله والبيت بيتكم is one of the key سنع phrases of reception. It tells the guest they are not merely a visitor but that the home is theirs. This phrase sets the tone of complete hospitality.,A Western host would say please come in or welcome without the depth of meaning these words carry.
